speaker,bigram,n,total,tf,idf,tf_idf
Doug Burgum,today’s press,7,5580,0.005372217958557176,2.120263536200091,0.011390517846048071
Doug Burgum,north dakota's,6,5580,0.004604758250191865,3.912023005428146,0.01801392020918563
Doug Burgum,nddoh confirmed,5,5580,0.003837298541826554,3.912023005428146,0.015011600174321358
Doug Burgum,watch today’s,5,5580,0.003837298541826554,2.8134107167600364,0.010795896840982488
Doug Burgum,essential trips,4,5580,0.0030698388334612432,3.912023005428146,0.012009280139457087
Doug Burgum,grand forks,4,5580,0.0030698388334612432,3.912023005428146,0.012009280139457087
Doug Burgum,home avoid,4,5580,0.0030698388334612432,2.302585092994046,0.00706856513582209
Doug Ducey,thearizonaway https,161,40434,0.014481021766504768,3.912023005428146,0.05665009029267238
Doug Ducey,gov dougducey,107,40434,0.009624033099478324,3.2188758248682006,0.030978567481642155
Doug Ducey,governor dougducey,79,40434,0.007105594531390538,3.912023005428146,0.02779724927404421
Doug Ducey,azbalanced budget,32,40434,0.0028782155063860407,3.912023005428146,0.011259645275562212
Doug Ducey,doug ducey,30,40434,0.002698327037236913,3.912023005428146,0.010555917445839573
Doug Ducey,director drcarachrist,29,40434,0.002608382802662349,3.912023005428146,0.010204053530978254
Doug Ducey,azdhs director,26,40434,0.002338550098938658,3.912023005428146,0.009148461786394297
Doug Ducey,thearizonaway azbalanced,24,40434,0.0021586616297895305,3.912023005428146,0.00844473395667166
Doug Ducey,azbalanced https,19,40434,0.0017089404569167117,3.912023005428146,0.006685414382365063
Doug Ducey,dougducey https,18,40434,0.0016189962223421479,3.912023005428146,0.006333550467503744
Eric Holcomb,insots nextlevel,13,12749,0.004520166898470098,3.912023005428146,0.017682996895189814
Eric Holcomb,nextlevel https,13,12749,0.004520166898470098,3.912023005428146,0.017682996895189814
Eric Holcomb,indiana https,9,12749,0.003129346314325452,3.912023005428146,0.012242074773592945
Eric Holcomb,t.co ptsugkwpkq,8,12749,0.0027816411682892906,3.912023005428146,0.010881844243193729
Eric Holcomb,release https,7,12749,0.0024339360222531293,1.8325814637483102,0.004460386038330379
Eric Holcomb,statehealthin website,7,12749,0.0024339360222531293,3.912023005428146,0.009521613712794514
Eric Holcomb,cdcgov website,5,12749,0.0017385257301808068,3.912023005428146,0.006801152651996082
Eric Holcomb,t.co pqqvipsmxo,5,12749,0.0017385257301808068,3.912023005428146,0.006801152651996082
Eric Holcomb,dr box,4,12749,0.0013908205841446453,3.912023005428146,0.0054409221215968645
Eric Holcomb,person dining,4,12749,0.0013908205841446453,3.912023005428146,0.0054409221215968645
Gary Herbert,utpol https,12,6205,0.01092896174863388,3.912023005428146,0.04275434978609995
Gary Herbert,safe stay,5,6205,0.004553734061930784,2.302585092994046,0.010485360168461048
Gary Herbert,salt lake,4,6205,0.0036429872495446266,3.912023005428146,0.014251449928699986
Gary Herbert,home directive,3,6205,0.00273224043715847,3.2188758248682006,0.008794742690896723
Gary Herbert,utah https,3,6205,0.00273224043715847,3.912023005428146,0.010688587446524988
Gary Herbert,angela dunn,2,6205,0.0018214936247723133,3.912023005428146,0.007125724964349993
Gary Herbert,dr angela,2,6205,0.0018214936247723133,3.912023005428146,0.007125724964349993
Gary Herbert,expected heavy,2,6205,0.0018214936247723133,3.912023005428146,0.007125724964349993
Gary Herbert,governor call,2,6205,0.0018214936247723133,3.912023005428146,0.007125724964349993
Gary Herbert,governor's monthly,2,6205,0.0018214936247723133,3.912023005428146,0.007125724964349993
Gavin Newsom,governor gavinnewsom,38,11578,0.013503909026297086,3.2188758248682006,0.04346740630596717
Gavin Newsom,californiaforall https,24,11578,0.008528784648187633,3.912023005428146,0.03336480175205242
Gavin Newsom,los angeles,9,11578,0.0031982942430703624,3.912023005428146,0.012511800657019656
Gavin Newsom,cagovernor gavinnewsom,8,11578,0.0028429282160625444,3.912023005428146,0.011121600584017472
Gavin Newsom,stayhomesavelives https,7,11578,0.0024875621890547263,3.2188758248682006,0.008007153793204479
Gavin Newsom,bayard rustin,6,11578,0.0021321961620469083,3.2188758248682006,0.0068632746798895534
Gavin Newsom,casots https,5,11578,0.0017768301350390902,3.912023005428146,0.0069510003650109205
Gavin Newsom,gov gavinnewsom,5,11578,0.0017768301350390902,3.912023005428146,0.0069510003650109205
Gavin Newsom,cabudget https,4,11578,0.0014214641080312722,3.912023005428146,0.005560800292008736
Gavin Newsom,californiaforall casots,4,11578,0.0014214641080312722,3.912023005428146,0.005560800292008736
Gina Raimondo,rhode island,14,9279,0.008130081300813009,3.912023005428146,0.031805065084781675
Gina Raimondo,rhode islanders,12,9279,0.006968641114982578,3.912023005428146,0.027261484358384293
Gina Raimondo,ri’s response,7,9279,0.0040650406504065045,3.912023005428146,0.015902532542390838
Gina Raimondo,frontline workers,6,9279,0.003484320557491289,2.120263536200091,0.007387677826481153
Gina Raimondo,public pre,5,9279,0.0029036004645760743,3.912023005428146,0.011358951815993456
